"person_id","age","rating","vehicle_condition","type_of_vehicle"
BHPRES12DEL02 ,20,4.5,1,motorcycle 
CHENRES11DEL03 ,35,4.1,1,motorcycle 
BANGRES010DEL03 ,39,4.6,1,scooter 
VADRES20DEL01 ,34,4.7,2,electric_scooter 
BANGRES11DEL01 ,27,4.7,2,scooter 
DEHRES01DEL01 ,30,4.8,1,motorcycle 
CHENRES02DEL01 ,25,4.4,2,scooter 
JAPRES03DEL02 ,30,5.0,1,motorcycle 
HYDRES04DEL03 ,24,4.6,1,motorcycle 
PUNERES14DEL02 ,39,4.8,1,motorcycle 
GOARES04DEL01 ,25,4.8,1,scooter 
MUMRES15DEL03 ,36,4.7,1,scooter 
AURGRES08DEL02 ,37,4.6,0,motorcycle 
BANGRES12DEL01 ,24,5.0,0,motorcycle 
HYDRES05DEL01 ,25,4.2,0,motorcycle 
RANCHIRES17DEL01 ,32,4.6,2,motorcycle 
AGRRES010DEL01 ,34,4.7,1,scooter 
INDORES12DEL02 ,38,4.9,2,scooter 
JAPRES15DEL03 ,36,4.8,2,electric_scooter 
SURRES16DEL01 ,25,5.0,1,motorcycle 
MYSRES16DEL02 ,29,5.0,0,motorcycle 
MUMRES05DEL03 ,36,4.7,2,electric_scooter 
COIMBRES19DEL02 ,33,4.7,0,motorcycle 
MYSRES07DEL01 ,36,4.4,2,scooter 
PUNERES17DEL01 ,21,4.8,0,motorcycle 
HYDRES19DEL03 ,25,4.8,1,scooter 
MUMRES14DEL02 ,23,4.8,0,motorcycle 
COIMBRES02DEL01 ,25,4.6,2,motorcycle 
INDORES05DEL02 ,24,4.3,0,motorcycle 
BANGRES03DEL03 ,27,4.6,0,motorcycle 
MUMRES11DEL01 ,23,4.8,2,scooter 
MYSRES12DEL02 ,21,4.3,1,scooter 
SURRES09DEL02 ,27,4.7,2,scooter 
COIMBRES12DEL02 ,32,4.2,1,motorcycle 
KNPRES05DEL02 ,39,4.7,1,scooter 
SURRES05DEL02 ,27,4.6,0,motorcycle 
MUMRES15DEL01 ,39,3.8,1,motorcycle 
BANGRES15DEL02 ,31,4.8,1,scooter 
RANCHIRES11DEL03 ,31,4.8,2,electric_scooter 
MYSRES08DEL01 ,20,4.8,0,motorcycle 
RANCHIRES07DEL02 ,36,4.9,0,motorcycle 
RANCHIRES01DEL03 ,20,4.9,0,motorcycle 
JAPRES17DEL03 ,24,4.6,0,motorcycle 
INDORES14DEL01 ,39,4.2,1,scooter 
COIMBRES17DEL01 ,37,4.8,2,scooter 
KNPRES17DEL02 ,22,4.5,1,scooter 
RANCHIRES04DEL01 ,33,4.7,1,scooter 
KOLRES17DEL03 ,23,NaN,0,motorcycle 
BANGRES19DEL02 ,27,4.6,0,motorcycle 
MUMRES17DEL01 ,34,4.7,2,scooter 
SURRES14DEL01 ,26,5.0,2,scooter 
VADRES14DEL03 ,31,4.6,0,motorcycle 
PUNERES09DEL02 ,32,4.9,2,motorcycle 
INDORES19DEL02 ,27,4.7,1,motorcycle 
BANGRES12DEL02 ,28,4.8,1,motorcycle 
VADRES04DEL01 ,24,4.9,1,scooter 
BANGRES11DEL03 ,20,4.6,0,motorcycle 
COIMBRES13DEL03 ,31,4.3,0,motorcycle 
CHENRES19DEL01 ,31,4.2,0,motorcycle 
HYDRES02DEL03 ,39,4.1,1,scooter 
SURRES010DEL02 ,29,4.6,2,electric_scooter 
SURRES03DEL01 ,29,4.6,1,scooter 
COIMBRES17DEL03 ,37,4.9,0,motorcycle 
VADRES08DEL01 ,33,4.7,0,motorcycle 
MUMRES08DEL01 ,31,3.9,1,scooter 
VADRES18DEL01 ,37,4.6,0,motorcycle 
BANGRES04DEL03 ,26,4.4,0,motorcycle 
RANCHIRES12DEL02 ,23,4.8,1,scooter 
MYSRES13DEL01 ,39,4.8,0,motorcycle 
COIMBRES03DEL02 ,20,4.7,0,motorcycle 
KOLRES04DEL03 ,29,4.3,0,motorcycle 
COIMBRES11DEL01 ,36,4.8,2,motorcycle 
VADRES13DEL03 ,36,4.0,0,motorcycle 
RANCHIRES04DEL02 ,22,4.8,1,scooter 
SURRES01DEL02 ,39,4.9,0,motorcycle 
INDORES08DEL02 ,24,4.9,1,scooter 
HYDRES18DEL03 ,35,4.8,0,motorcycle 
PUNERES05DEL03 ,-1,NaN,2,scooter 
CHENRES07DEL03 ,33,4.5,2,electric_scooter 
KOCRES010DEL01 ,39,4.7,1,motorcycle 
VADRES11DEL02 ,31,4.3,1,motorcycle 
CHENRES20DEL01 ,37,4.5,2,scooter 
MUMRES13DEL01 ,33,5.0,1,motorcycle 
RANCHIRES03DEL03 ,24,4.6,2,scooter 
JAPRES08DEL02 ,33,4.5,1,scooter 
ALHRES12DEL01 ,39,4.7,2,motorcycle 
HYDRES19DEL02 ,25,4.9,2,scooter 
PUNERES17DEL03 ,28,4.8,1,scooter 
MYSRES010DEL01 ,38,4.7,2,motorcycle 
MUMRES06DEL03 ,25,4.8,2,motorcycle 
MYSRES18DEL01 ,35,4.9,0,motorcycle 
RANCHIRES18DEL01 ,39,4.7,0,motorcycle 
INDORES06DEL02 ,38,3.9,1,motorcycle 
CHENRES15DEL03 ,35,4.7,1,motorcycle 
JAPRES07DEL02 ,29,4.7,1,motorcycle 
SURRES18DEL03 ,27,4.6,1,scooter 
SURRES19DEL01 ,36,4.9,2,motorcycle 
HYDRES04DEL01 ,26,4.0,1,motorcycle 
KNPRES16DEL03 ,26,4.1,2,motorcycle 
MYSRES12DEL03 ,36,4.9,1,motorcycle 
JAPRES09DEL01 ,21,4.7,0,motorcycle 
CHENRES04DEL02 ,35,4.7,2,electric_scooter 
MYSRES09DEL01 ,20,4.5,2,motorcycle 
PUNERES19DEL03 ,23,4.6,0,motorcycle 
KOLRES18DEL03 ,37,5.0,0,motorcycle 
BANGRES14DEL03 ,26,4.8,0,motorcycle 
INDORES09DEL01 ,26,4.9,1,motorcycle 
PUNERES09DEL03 ,29,4.8,0,motorcycle 
RANCHIRES01DEL02 ,29,4.7,2,motorcycle 
LUDHRES010DEL03 ,21,4.9,1,scooter 
MYSRES13DEL02 ,22,4.3,0,motorcycle 
COIMBRES11DEL02 ,20,4.5,1,motorcycle 
VADRES13DEL02 ,30,3.9,2,electric_scooter 
BANGRES01DEL01 ,36,4.8,0,motorcycle 
MYSRES15DEL01 ,32,4.7,2,electric_scooter 
CHENRES02DEL03 ,25,5.0,1,motorcycle 
HYDRES12DEL01 ,27,4.5,2,scooter 
BANGRES07DEL01 ,32,4.1,0,motorcycle 
CHENRES09DEL01 ,23,4.7,1,motorcycle 
BANGRES04DEL02 ,39,4.4,0,motorcycle 
JAPRES13DEL02 ,20,4.8,2,electric_scooter 
ALHRES07DEL03 ,29,4.6,1,scooter 
JAPRES06DEL03 ,26,4.9,2,scooter 
KOCRES03DEL01 ,25,5.0,1,motorcycle 
BANGRES13DEL01 ,34,4.7,1,motorcycle 
GOARES02DEL01 ,31,4.9,0,motorcycle 
RANCHIRES03DEL02 ,24,4.7,0,motorcycle 
HYDRES12DEL03 ,30,4.9,2,motorcycle 
JAPRES13DEL03 ,36,4.4,0,motorcycle 
JAPRES18DEL03 ,26,4.7,0,motorcycle 
VADRES05DEL01 ,30,4.6,2,scooter 
AURGRES02DEL03 ,20,4.8,2,scooter 
MUMRES20DEL03 ,34,4.0,0,motorcycle 
HYDRES14DEL02 ,36,4.6,0,motorcycle 
KNPRES02DEL02 ,33,4.6,1,motorcycle 
AURGRES19DEL01 ,22,4.8,1,motorcycle 
BANGRES08DEL02 ,27,4.9,2,scooter 
KNPRES16DEL01 ,32,4.8,2,scooter 
BANGRES010DEL02 ,26,4.8,0,motorcycle 
INDORES03DEL02 ,29,4.5,0,motorcycle 
COIMBRES16DEL02 ,31,4.5,0,motorcycle 
HYDRES20DEL01 ,28,4.6,2,motorcycle 
AGRRES08DEL03 ,21,4.8,1,motorcycle 
COIMBRES15DEL02 ,21,4.0,0,motorcycle 
ALHRES05DEL01 ,29,4.7,2,motorcycle 
MUMRES01DEL01 ,20,4.8,1,motorcycle 
AURGRES14DEL03 ,28,5.0,0,motorcycle 
CHENRES14DEL02 ,38,4.8,1,motorcycle 
HYDRES06DEL03 ,39,4.9,1,motorcycle 
COIMBRES16DEL01 ,24,4.9,0,motorcycle 
INDORES13DEL03 ,33,4.5,2,scooter 
INDORES12DEL03 ,35,4.2,1,motorcycle 
MUMRES13DEL03 ,27,4.2,0,motorcycle 
BANGRES06DEL03 ,29,4.5,0,motorcycle 
AGRRES11DEL02 ,34,4.7,1,scooter 
KNPRES15DEL02 ,20,4.7,2,scooter 
VADRES13DEL01 ,29,4.8,1,motorcycle 
VADRES01DEL03 ,22,4.9,2,scooter 
AGRRES03DEL01 ,35,4.9,0,motorcycle 
KOCRES14DEL01 ,32,4.4,0,motorcycle 
LUDHRES18DEL01 ,28,4.9,2,motorcycle 
SURRES20DEL02 ,23,4.8,0,motorcycle 
INDORES18DEL02 ,22,4.8,2,motorcycle 
AURGRES04DEL02 ,29,4.5,2,motorcycle 
BANGRES010DEL01 ,38,4.1,0,motorcycle 
VADRES15DEL03 ,38,4.7,2,scooter 
DEHRES010DEL01 ,32,4.3,1,scooter 
CHENRES05DEL02 ,25,4.9,0,motorcycle 
DEHRES12DEL02 ,39,4.1,1,motorcycle 
VADRES01DEL01 ,31,4.4,0,motorcycle 
SURRES13DEL02 ,37,4.5,0,motorcycle 
LUDHRES05DEL03 ,36,4.9,2,electric_scooter 
COIMBRES14DEL01 ,38,4.9,2,scooter 
AGRRES010DEL02 ,37,4.4,0,motorcycle 
SURRES14DEL03 ,21,4.9,2,scooter 
JAPRES04DEL03 ,35,4.9,2,electric_scooter 
JAPRES01DEL03 ,22,4.8,1,scooter 
HYDRES010DEL02 ,28,4.8,0,motorcycle 
CHENRES15DEL02 ,39,4.6,2,motorcycle 
MYSRES05DEL02 ,25,4.9,2,electric_scooter 
COIMBRES03DEL03 ,34,5.0,2,electric_scooter 
BANGRES01DEL02 ,22,4.8,1,motorcycle 
KNPRES12DEL01 ,27,5.0,0,motorcycle 
MUMRES010DEL01 ,28,4.5,0,motorcycle 
COIMBRES20DEL03 ,32,5.0,2,scooter 
HYDRES16DEL01 ,27,4.6,0,motorcycle 
MUMRES01DEL02 ,35,3.9,1,motorcycle 
MYSRES08DEL03 ,22,4.6,1,motorcycle 
AURGRES16DEL03 ,35,4.7,2,electric_scooter 
VADRES11DEL01 ,30,4.6,0,motorcycle 
MYSRES09DEL02 ,39,4.8,2,scooter 
PUNERES05DEL02 ,20,4.7,2,scooter 
MYSRES02DEL03 ,34,4.2,0,motorcycle 
MYSRES03DEL01 ,22,4.7,0,motorcycle 
JAPRES16DEL02 ,37,4.3,2,scooter 
SURRES15DEL02 ,33,4.9,1,motorcycle 
VADRES06DEL01 ,33,4.6,0,motorcycle 
MUMRES19DEL03 ,30,4.6,0,motorcycle 
HYDRES05DEL03 ,32,4.9,1,scooter 
AURGRES12DEL02 ,39,4.9,0,motorcycle 
MUMRES07DEL03 ,20,4.5,1,scooter 
JAPRES16DEL01 ,36,5.0,2,scooter 
BANGRES09DEL02 ,28,4.8,1,scooter 
PUNERES12DEL02 ,32,4.5,0,motorcycle 
SURRES07DEL01 ,30,4.7,0,motorcycle 
PUNERES19DEL01 ,32,4.4,0,motorcycle 
INDORES15DEL03 ,23,4.6,0,motorcycle 
INDORES17DEL03 ,31,4.2,2,electric_scooter 
MUMRES13DEL02 ,37,4.6,2,electric_scooter 
SURRES18DEL02 ,20,4.5,0,motorcycle 
RANCHIRES010DEL02 ,34,4.8,1,scooter 
RANCHIRES01DEL01 ,32,4.5,2,motorcycle 
PUNERES12DEL01 ,34,4.9,2,scooter 
INDORES07DEL03 ,33,3.9,2,electric_scooter 
MYSRES02DEL02 ,34,4.7,0,motorcycle 
SURRES05DEL01 ,26,4.6,1,scooter 
BANGRES13DEL02 ,31,4.0,0,motorcycle 
SURRES010DEL01 ,39,4.8,0,motorcycle 
ALHRES09DEL01 ,27,4.8,1,motorcycle 
HYDRES18DEL02 ,32,5.0,2,scooter 
KOLRES03DEL02 ,32,4.5,0,motorcycle 
RANCHIRES16DEL01 ,39,4.1,0,motorcycle 
BANGRES16DEL03 ,37,4.1,0,motorcycle 
PUNERES06DEL01 ,34,3.8,1,scooter 
CHENRES15DEL01 ,32,4.9,1,motorcycle 
JAPRES010DEL03 ,22,4.7,1,motorcycle 
MYSRES15DEL02 ,27,4.0,0,motorcycle 
COIMBRES19DEL01 ,29,4.9,1,scooter 
COIMBRES09DEL03 ,38,4.8,0,motorcycle 
SURRES19DEL02 ,35,4.8,2,motorcycle 
BANGRES20DEL03 ,31,4.9,0,motorcycle 
CHENRES16DEL03 ,30,4.3,1,scooter 
RANCHIRES12DEL03 ,24,4.9,1,motorcycle 
HYDRES11DEL03 ,33,4.8,2,motorcycle 
DEHRES19DEL01 ,29,4.6,0,motorcycle 
RANCHIRES18DEL03 ,26,4.9,0,motorcycle 
VADRES07DEL01 ,39,4.8,2,scooter 
JAPRES07DEL03 ,26,4.7,2,motorcycle 
INDORES07DEL01 ,35,4.7,2,motorcycle 
AURGRES03DEL01 ,26,4.6,1,motorcycle 
CHENRES17DEL01 ,32,5.0,1,scooter 
JAPRES20DEL03 ,37,4.9,0,motorcycle 
KOCRES14DEL02 ,26,4.9,2,scooter 
COIMBRES09DEL02 ,31,4.8,1,scooter 
CHENRES08DEL03 ,37,4.6,1,motorcycle 
INDORES010DEL03 ,37,4.8,0,motorcycle 
SURRES04DEL03 ,21,4.4,0,motorcycle 
BANGRES16DEL01 ,22,4.0,0,motorcycle 
CHENRES14DEL01 ,38,4.5,1,motorcycle 
CHENRES03DEL01 ,28,4.0,0,motorcycle 
VADRES09DEL02 ,29,4.7,1,scooter 
SURRES12DEL02 ,24,4.8,2,scooter 
PUNERES11DEL03 ,26,4.9,0,motorcycle 
BANGRES15DEL01 ,32,4.0,0,motorcycle 
GOARES17DEL01 ,34,4.6,2,electric_scooter 
JAPRES19DEL02 ,27,4.5,1,motorcycle 
KOLRES18DEL01 ,29,5.0,1,motorcycle 
SURRES07DEL02 ,24,4.9,2,motorcycle 
INDORES12DEL01 ,21,4.9,1,motorcycle 
LUDHRES16DEL01 ,33,4.4,0,motorcycle 
RANCHIRES06DEL03 ,35,4.7,1,motorcycle 
MUMRES16DEL01 ,29,4.8,1,motorcycle 
BANGRES08DEL01 ,29,4.6,0,motorcycle 
AGRRES01DEL02 ,24,4.4,2,scooter 
CHENRES010DEL01 ,27,4.6,2,scooter 
COIMBRES20DEL02 ,33,4.1,0,motorcycle 
COIMBRES14DEL03 ,21,4.7,1,scooter 
CHENRES010DEL02 ,34,4.8,2,scooter 
MUMRES07DEL02 ,20,4.7,1,scooter 
ALHRES11DEL01 ,20,4.8,0,motorcycle 
DEHRES07DEL02 ,37,4.7,2,scooter 
INDORES08DEL03 ,39,4.6,1,motorcycle 
HYDRES01DEL01 ,26,5.0,0,motorcycle 
ALHRES11DEL02 ,32,4.9,0,motorcycle 
PUNERES13DEL03 ,21,4.7,2,scooter 
BANGRES20DEL02 ,35,4.8,2,scooter 
KOCRES20DEL01 ,27,4.9,0,motorcycle 
HYDRES04DEL02 ,33,4.8,0,motorcycle 
LUDHRES07DEL02 ,20,4.6,2,motorcycle 
PUNERES010DEL01 ,31,4.2,1,scooter 
VADRES010DEL02 ,37,4.9,1,scooter 
BANGRES14DEL02 ,34,4.4,2,scooter 
COIMBRES05DEL03 ,25,4.7,1,motorcycle 
AURGRES07DEL02 ,37,4.7,0,motorcycle 
KOCRES11DEL01 ,23,4.7,1,scooter 
MYSRES17DEL01 ,27,5.0,0,motorcycle 
HYDRES13DEL02 ,36,4.7,2,electric_scooter 
JAPRES14DEL03 ,30,4.3,0,motorcycle 
AURGRES20DEL01 ,20,4.9,1,motorcycle 
VADRES07DEL02 ,36,4.0,0,motorcycle 
CHENRES08DEL02 ,20,4.7,2,scooter 
AURGRES05DEL02 ,38,5.0,1,scooter 
JAPRES17DEL02 ,34,3.5,2,motorcycle 
RANCHIRES04DEL03 ,33,4.6,0,motorcycle 
KOLRES14DEL02 ,21,4.6,1,scooter 
VADRES14DEL01 ,23,4.9,0,motorcycle 
LUDHRES06DEL02 ,34,4.9,1,motorcycle 
HYDRES010DEL01 ,25,4.7,2,scooter 
ALHRES08DEL03 ,28,4.9,2,electric_scooter 
PUNERES07DEL01 ,34,3.7,1,scooter 
JAPRES20DEL01 ,24,4.5,1,scooter 
CHENRES14DEL03 ,31,5.0,1,motorcycle 
MUMRES14DEL03 ,38,4.6,1,scooter 
DEHRES04DEL03 ,32,4.8,1,motorcycle 
AURGRES03DEL03 ,28,5.0,0,motorcycle 
VADRES16DEL01 ,39,4.8,1,scooter 
INDORES02DEL03 ,33,4.8,2,electric_scooter 
ALHRES17DEL03 ,37,4.9,1,scooter 
AURGRES03DEL02 ,36,5.0,0,motorcycle 
SURRES04DEL01 ,30,4.2,1,motorcycle 
VADRES18DEL02 ,22,4.8,0,motorcycle 
BANGRES20DEL01 ,31,4.4,0,motorcycle 
SURRES19DEL03 ,36,4.6,2,scooter 
HYDRES07DEL01 ,32,4.7,0,motorcycle 
RANCHIRES14DEL01 ,23,4.2,0,motorcycle 
INDORES15DEL02 ,26,4.7,2,scooter 
COIMBRES12DEL03 ,23,4.6,2,scooter 
SURRES03DEL02 ,22,4.9,1,motorcycle 
CHENRES02DEL02 ,32,4.1,1,scooter 
JAPRES13DEL01 ,25,4.7,1,motorcycle 
AGRRES07DEL02 ,31,4.3,0,motorcycle 
MYSRES11DEL02 ,36,4.3,1,scooter 
PUNERES04DEL03 ,20,4.9,0,motorcycle 
AGRRES02DEL03 ,38,4.1,2,scooter 
VADRES06DEL03 ,37,4.7,0,motorcycle 
JAPRES05DEL01 ,28,5.0,2,scooter 
HYDRES03DEL02 ,31,4.0,1,scooter 
HYDRES15DEL02 ,30,4.9,0,motorcycle 
KOLRES03DEL03 ,27,4.9,2,motorcycle 
PUNERES11DEL02 ,30,4.9,2,motorcycle 
INDORES01DEL02 ,34,4.9,0,motorcycle 
COIMBRES17DEL02 ,37,4.8,2,scooter 
JAPRES08DEL03 ,34,4.9,0,motorcycle 
HYDRES16DEL03 ,23,4.1,2,electric_scooter 
VADRES12DEL02 ,20,4.9,1,motorcycle 
PUNERES01DEL03 ,26,4.1,0,motorcycle 
RANCHIRES14DEL02 ,34,4.5,0,motorcycle 
PUNERES18DEL03 ,21,4.7,2,scooter 
COIMBRES010DEL01 ,35,4.6,0,motorcycle 
JAPRES02DEL01 ,20,4.7,2,electric_scooter 
MUMRES20DEL02 ,24,4.1,2,electric_scooter 
DEHRES08DEL03 ,36,4.8,0,motorcycle 
JAPRES20DEL02 ,31,4.7,2,electric_scooter 
MYSRES19DEL03 ,20,4.8,1,scooter 
BHPRES03DEL02 ,25,4.6,1,scooter 
RANCHIRES11DEL02 ,36,4.9,1,motorcycle 
COIMBRES15DEL01 ,38,4.8,1,motorcycle 
BANGRES09DEL01 ,34,4.3,0,motorcycle 
MYSRES01DEL02 ,32,3.6,2,scooter 
MYSRES19DEL02 ,22,4.6,2,motorcycle 
RANCHIRES16DEL02 ,39,4.8,0,motorcycle 
SURRES18DEL01 ,34,4.9,1,motorcycle 
BANGRES02DEL02 ,21,4.7,1,motorcycle 
INDORES04DEL02 ,30,4.6,2,electric_scooter 
PUNERES15DEL01 ,25,4.5,0,motorcycle 
MYSRES14DEL03 ,31,4.0,0,motorcycle 
VADRES14DEL02 ,31,4.7,2,electric_scooter 
HYDRES13DEL01 ,27,4.6,2,motorcycle 
BANGRES03DEL02 ,23,4.8,1,motorcycle 
ALHRES11DEL03 ,34,4.8,1,scooter 
PUNERES14DEL01 ,22,3.5,2,motorcycle 
BHPRES15DEL03 ,38,4.8,1,scooter 
ALHRES19DEL03 ,26,5.0,1,scooter 
COIMBRES19DEL03 ,26,4.6,0,motorcycle 
JAPRES03DEL03 ,25,4.3,2,scooter 
BANGRES04DEL01 ,25,5.0,1,scooter 
ALHRES09DEL02 ,30,4.7,2,motorcycle 
CHENRES09DEL02 ,33,4.2,2,scooter 
COIMBRES02DEL02 ,39,4.9,1,motorcycle 
MYSRES05DEL03 ,34,4.5,2,motorcycle 
BANGRES06DEL02 ,24,4.2,2,scooter 
INDORES16DEL02 ,28,4.9,0,motorcycle 
AURGRES11DEL01 ,39,4.9,0,motorcycle 
RANCHIRES20DEL02 ,21,5.0,1,scooter 
AURGRES09DEL03 ,35,4.8,2,scooter 
KOLRES11DEL02 ,25,4.5,0,motorcycle 
MYSRES20DEL01 ,28,4.7,1,scooter 
RANCHIRES010DEL01 ,31,4.8,1,motorcycle 
JAPRES06DEL01 ,28,4.5,2,scooter 
LUDHRES18DEL03 ,20,3.9,0,motorcycle 
GOARES19DEL01 ,34,4.6,2,scooter 
KOLRES20DEL02 ,20,4.7,0,motorcycle 
INDORES08DEL01 ,32,4.0,0,motorcycle 
BHPRES03DEL03 ,25,4.7,1,scooter 
VADRES19DEL03 ,29,5.0,0,motorcycle 
JAPRES09DEL03 ,23,4.7,0,motorcycle 
INDORES06DEL03 ,33,5.0,1,scooter 
MUMRES09DEL03 ,25,4.8,0,motorcycle 
DEHRES08DEL01 ,22,4.6,0,motorcycle 
SURRES15DEL01 ,35,4.7,2,electric_scooter 
CHENRES05DEL03 ,20,4.8,2,scooter 
VADRES11DEL03 ,20,3.5,0,motorcycle 
VADRES08DEL03 ,24,4.4,0,motorcycle 
INDORES20DEL02 ,22,5.0,2,scooter 
VADRES15DEL01 ,32,4.3,0,motorcycle 
RANCHIRES15DEL03 ,34,4.6,0,motorcycle 
LUDHRES04DEL03 ,39,4.6,1,scooter 
RANCHIRES17DEL02 ,27,4.7,2,scooter 
JAPRES04DEL02 ,35,4.8,2,electric_scooter 
PUNERES06DEL02 ,24,4.8,1,motorcycle 
BHPRES11DEL03 ,25,4.9,0,motorcycle 
PUNERES09DEL01 ,28,4.8,1,motorcycle 
JAPRES06DEL02 ,35,4.9,2,scooter 
CHENRES18DEL03 ,31,4.9,0,motorcycle 
BANGRES17DEL03 ,31,4.8,2,scooter 
GOARES19DEL02 ,24,4.7,2,scooter 
MUMRES15DEL02 ,33,5.0,2,scooter 
BHPRES04DEL01 ,39,4.6,1,scooter 
KNPRES19DEL03 ,37,4.5,0,motorcycle 
KOLRES04DEL01 ,29,4.8,1,scooter 
RANCHIRES20DEL01 ,29,5.0,1,motorcycle 
KOLRES12DEL01 ,30,4.8,2,electric_scooter 
COIMBRES06DEL03 ,23,5.0,2,scooter 
LUDHRES08DEL01 ,36,4.5,1,motorcycle 
HYDRES010DEL03 ,38,4.9,1,motorcycle 
BHPRES14DEL03 ,32,4.7,2,scooter 
MYSRES20DEL02 ,35,4.8,2,scooter 
CHENRES18DEL01 ,27,4.6,0,motorcycle 
BANGRES14DEL01 ,23,5.0,2,electric_scooter 
COIMBRES04DEL02 ,37,4.2,2,scooter 
CHENRES09DEL03 ,36,4.9,0,motorcycle 
AGRRES02DEL02 ,32,4.9,1,motorcycle 
RANCHIRES09DEL03 ,38,4.8,2,motorcycle 
ALHRES010DEL02 ,27,5.0,2,scooter 
HYDRES06DEL01 ,31,4.4,0,motorcycle 
HYDRES20DEL02 ,21,4.2,0,motorcycle 
COIMBRES07DEL02 ,20,4.9,0,motorcycle 
CHENRES18DEL02 ,27,4.7,0,motorcycle 
AURGRES01DEL02 ,35,4.1,0,motorcycle 
MYSRES02DEL01 ,31,4.8,1,scooter 
DEHRES02DEL01 ,33,4.8,2,scooter 
JAPRES15DEL01 ,23,5.0,2,scooter 
VADRES12DEL01 ,29,4.7,1,motorcycle 
AURGRES13DEL02 ,30,5.0,2,scooter 
HYDRES11DEL02 ,39,4.9,0,motorcycle 
VADRES20DEL02 ,36,4.8,1,motorcycle 
SURRES11DEL02 ,30,4.8,1,motorcycle 
